question,option_a,option_b,option_c,option_d,correct_option,category,difficulty
She ___ to school every day.,go,goes,going,gone,b,Tenses,easy
They ___ watching a movie right now.,is,am,are,was,c,Tenses,easy
Choose the noun: 'The dog ran quickly.',ran,quickly,dog,the,c,Parts of Speech,easy
Choose the verb: 'She sings beautifully.',she,sings,beautifully,the,b,Parts of Speech,easy
Choose the correct sentence: He go to market or He goes to market?,He go to market.,He goes to market.,He going to market.,He gone to market.,b,Subject-Verb Agreement,easy
Choose the correct sentence: They walks fast or They walk fast?,They walks fast.,They walk fast.,They walking fast.,They walked fast.,b,Subject-Verb Agreement,easy
Choose the correct word: 'Their/There/They're going home.',Their,There,They're,There's,c,Common Errors,easy
Choose the correct word: 'Its/It's raining outside.',Its,It's,Its',Its's,b,Common Errors,easy
"By next year, she ___ her degree.",completes,will complete,will have completed,completed,c,Tenses,medium
She ___ dinner when the phone rang.,cooks,was cooking,cooked,cook,b,Tenses,medium
Identify the adverb: 'He runs very quickly.',runs,very,quickly,he,c,Parts of Speech,medium
Identify the preposition: 'The book is on the table.',book,is,on,table,c,Parts of Speech,medium
Choose the correct sentence about 'neither': which is correct?,Neither of them are ready.,Neither of them is ready.,Neither of them be ready.,Neither of them was ready.,b,Subject-Verb Agreement,medium
Choose the correct sentence about 'the team': which is correct?,The team are winning.,The team is winning.,The team be winning.,The team were winning.,b,Subject-Verb Agreement,medium
Choose the correct word: 'I could of/have done better.',of,have,off,half,b,Common Errors,medium
Choose the correct word: 'Your/You're going to love this.',Your,You're,Yore,Yours,b,Common Errors,medium
"If she ___ earlier, she wouldn't have missed the bus.",left,leaves,had left,was leaving,c,Tenses,hard
"By the time you arrive, we ___ already left.",have,had,will have,has,c,Tenses,hard
Identify the conjunction: 'She stayed although it rained.',stayed,although,rained,she,b,Parts of Speech,hard
"Identify the interjection: 'Wow, that's amazing!'",wow,that's,amazing,is,a,Parts of Speech,hard
Choose the correct sentence about 'each student': which is correct?,Each of the students have submitted.,Each of the students has submitted.,Each of the students submit.,Each of the students submitting.,b,Subject-Verb Agreement,hard
Choose the correct sentence about 'the news': which is correct?,The news are surprising.,The news is surprising.,The news were surprising.,The news be surprising.,b,Subject-Verb Agreement,hard
Choose the correct word: 'The effect/affect of the policy was huge.',effect,affect,affects,effecting,a,Common Errors,hard
Choose the correct word: 'Then/Than she left.',Then,Than,Their,There,a,Common Errors,hard
He ___ his homework before dinner every day.,do,does,doing,did,b,Tenses,easy
Choose the pronoun: 'She gave it to him.',gave,it,she,quickly,c,Parts of Speech,easy
Choose the correct sentence: We plays or We play?,We plays football.,We play football.,We playing football.,We played football.,b,Subject-Verb Agreement,easy
Choose the correct word: 'Whose/Who's book is this?',Whose,Who's,Who,Whom,a,Common Errors,easy
"While I was cooking, the doorbell rang.",ring,rang,rings,ringing,b,Tenses,medium
Identify the article: 'An apple fell from the tree.',apple,an,fell,tree,b,Parts of Speech,medium
Choose the correct sentence about 'everyone': which is correct?,Everyone are here.,Everyone is here.,Everyone be here.,Everyone were here.,b,Subject-Verb Agreement,medium
Choose the correct word: 'Its/It's a beautiful day.',Its,It's,Its',Its's,b,Common Errors,medium
"Had she studied harder, she would have passed the exam.",would,would have,will have,had,b,Tenses,hard
"Identify the interjection: 'Ouch, that hurt!'",ouch,that,hurt,is,a,Parts of Speech,hard
Choose the correct sentence about 'physics': which is correct?,Physics are interesting.,Physics is interesting.,Physics be interesting.,Physics were interesting.,b,Subject-Verb Agreement,hard
Choose the correct word: 'Its/It's important to check usage.',Its,It's,Its',Its's,b,Common Errors,hard
